number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,dropout,lr,epochs,scheduler,log2_layer_2,activation_3,log2_layer_3,activation_4,schel_t_max_mod,shchel_eta_min,schel_gamma,log2_layer_4,activation_5,schel_step_size
38,-0.5506817698478699,1,12,elu,,,gelu,0.1423348426314907,0.007405250979660691,7,none,,,,,,,,,,
39,0.1204187273979187,3,9,elu,3.0,tanh,leaky_relu,0.12238703890728952,2.0673173742018768e-05,8,cosine,7.0,tanh,,,3.0,1e-06,,,,
40,0.37059781948725384,4,14,tanh,6.0,gelu,identity,0.13518187978211207,0.000276391254117556,6,none,12.0,relu,14.0,identity,,,,,,
41,0.409820020198822,2,5,elu,8.0,sigmoid,leaky_relu,0.114831533001761,0.0008361900238586366,7,step,,,,,,,0.5792542450192553,,,25.0
42,0.39699429273605347,2,4,elu,7.0,sigmoid,leaky_relu,0.09584592274842038,0.000595428249237378,7,cosine,,,,,1.0,1e-05,,,,
43,0.4127686619758606,2,6,elu,8.0,sigmoid,leaky_relu,0.1300242375198208,0.0007250392035890422,7,step,,,,,,,0.2713373694027917,,,30.0
44,0.29340962568918866,1,5,leaky_relu,,,gelu,0.10807966463305255,0.00040164907434785845,7,exponential,,,,,,,0.8744569477889057,,,
45,0.4164345860481262,2,4,elu,6.0,sigmoid,tanh,0.11902449202422455,0.0012560680087133579,6,step,,,,,,,0.4275942759070712,,,20.0
46,0.17452414830525717,1,3,sigmoid,,,relu,0.14547141859791526,0.00024482190780533236,8,cosine,,,,,3.0,0.0001,,,,
47,-0.0038587252298990884,3,5,elu,10.0,leaky_relu,sigmoid,0.08014609707877421,0.0011601890133644294,9,step,5.0,identity,,,,,0.20990760366288796,,,15.0
48,0.3710912863413493,2,6,gelu,4.0,identity,leaky_relu,0.13678144575665568,0.002181254671135665,7,none,,,,,,,,,,
